1000
0 0 0.000000e+00 0.000000e+00 0.000000e+00
0 1 1.000000e+00 0.000000e+00 0.000000e+00
0 2 9.450657e-01 1.083837e+00 -5.863175e-02
0 3 4.495594e-02 1.046440e+00 0.000000e+00
0 4 -3.040859e-02 7.157619e-02 9.830370e-01
0 5 9.388335e-01 3.712208e-02 1.004875e+00
0 6 9.319271e-01 1.090951e+00 9.253969e-01
0 7 -9.913209e-02 9.765383e-01 9.501586e-01
1 0 0.000000e+00 0.000000e+00 0.000000e+00
1 1 1.000000e+00 0.000000e+00 0.000000e+00
1 2 1.031058e+00 1.006898e+00 2.199327e-02
1 3 -4.242842e-02 1.081852e+00 0.000000e+00
1 4 -7.577985e-02 2.296123e-02 9.531830e-01
1 5 1.089071e+00 -1.506210e-02 9.496708e-01
1 6 1.035459e+00 9.142407e-01 9.911480e-01
1 7 -6.475287e-05 9.040538e-01 1.077235e+00
2 0 0.000000e+00 0.000000e+00 0.000000e+00
2 1 1.000000e+00 0.000000e+00 0.000000e+00
2 2 1.030917e+00 1.011940e+00 9.700961e-02
2 3 -3.210886e-02 9.073597e-01 0.000000e+00
2 4 9.763375e-02 -1.126843e-02 9.258238e-01
2 5 1.083008e+00 -2.271512e-02 9.060864e-01
2 6 9.368887e-01 1.087138e+00 9.961582e-01
2 7 1.956747e-02 9.872295e-01 9.210033e-01
3 0 0.000000e+00 0.000000e+00 0.000000e+00
3 1 1.000000e+00 0.000000e+00 0.000000e+00
3 2 1.045504e+00 9.246315e-01 3.442311e-02
3 3 -9.320184e-02 1.092887e+00 0.000000e+00
3 4 -9.106711e-02 -1.575297e-02 1.052844e+00
3 5 1.088898e+00 1.086976e-02 1.023433e+00
3 6 1.029301e+00 9.771342e-01 1.080424e+00
3 7 -3.542356e-02 9.846300e-01 9.909901e-01
4 0 0.000000e+00 0.000000e+00 0.000000e+00
4 1 1.000000e+00 0.000000e+00 0.000000e+00
4 2 1.014448e+00 9.096927e-01 -4.785684e-03
4 3 -7.757149e-02 1.068519e+00 0.000000e+00
4 4 -9.265042e-02 4.895983e-02 1.000532e+00
4 5 9.464646e-01 -4.657127e-02 9.355316e-01
4 6 9.106650e-01 9.742673e-01 9.104098e-01
4 7 -1.237908e-02 9.113294e-01 1.034223e+00
5 0 0.000000e+00 0.000000e+00 0.000000e+00
5 1 1.000000e+00 0.000000e+00 0.000000e+00
5 2 9.549789e-01 9.037046e-01 3.288028e-02
5 3 6.614865e-02 9.076220e-01 0.000000e+00
