1 0.93 0.26 0.17 0.54 0.98 0.97 0.27 0.76
2 0.51 0.17 0.12 0.56 0.12 0.51 0.2 0.45
3 0.16 0.38 0.54 0.62 0.69 0.58 0.51 0.08
4 0.09 0.61 0.72 0.25 0.92 0.94 0.42 0.34
5 0.48 0.9 0.65 0.58 0.67 0.83 0.86 0.78
6 0.87 0.12 0.8 0.08 0.58 0.26 0.99 0.42
7 0.98 0.96 0.77 0.35 0.74 0.25 0.13 0.12
8 0.72 0.24 0.74 0.7 1.0 0.26 0.43 0.41
9 0.54 0.49 0.27 0.38 0.09 0.55 0.65 0.58
10 0.31 0.32 0.88 0.81 0.32 0.44 0.91 0.29
11 0.35 0.87 0.15 0.36 0.88 0.21 0.44 0.35
12 0.25 0.75 0.41 0.14 0.38 0.48 0.35 0.2
13 0.46 0.02 0.11 0.62 0.28 0.27 0.13 0.99
14 0.7 0.18 0.6 0.8 0.4 0.71 0.84 0.06
15 0.69 0.67 0.41 0.21 0.98 0.06 0.8 0.11
16 0.83 0.53 0.79 0.47 0.26 0.07 0.77 0.92
17 0.23 0.82 0.52 0.71 0.42 0.04 0.68 0.35
18 0.22 0.52 0.81 0.77 0.83 0.69 0.16 0.36
19 0.6 0.31 0.83 0.27 0.97 0.13 0.58 0.36
20 0.18 0.36 0.7 0.07 0.9 0.41 0.24 0.89
21 0.24 0.66 0.89 0.49 0.37 0.27 0.9 0.75
22 0.86 0.91 0.3 0.55 0.1 0.63 0.31 0.0
23 0.47 0.72 0.17 0.41 0.39 0.45 0.94 0.0
24 0.37 0.5 0.48 0.5 0.93 0.73 0.7 0.01
25 0.26 0.2 0.51 0.51 0.65 0.78 0.6 0.76
26 0.86 0.79 0.23 0.92 0.85 0.65 0.69 0.2
27 0.3 0.1 0.76 0.52 0.08 0.82 0.22 0.75
28 0.78 0.49 0.42 0.02 0.04 0.38 0.86 0.14
29 0.46 0.08 0.98 0.74 0.65 0.47 0.37 0.52
30 0.49 0.35 0.24 0.53 0.46 0.63 0.04 0.78
31 0.64 0.77 0.47 0.91 0.1 0.01 0.5 0.65
32 0.24 0.03 0.67 0.42 0.13 0.83 0.95 0.67
33 0.51 0.25 0.49 0.28 0.1 0.46 0.42 0.56
34 0.0 0.01 0.44 0.42 0.17 0.66 0.16 0.87
35 0.14 0.55 0.73 0.42 0.25 0.8 0.28 0.07
36 0.78 0.79 0.97 0.6 0.91 0.4 0.72 0.88
37 0.94 0.83 0.31 0.88 0.27 0.83 0.0 0.92
38 0.47 0.24 0.76 1.0 0.58 0.66 0.84 0.54
39 0.72 0.23 0.96 0.71 0.68 0.02 0.67 0.91
40 0.07 0.94 0.2 0.12 0.99 0.68 0.36 0.16
41 0.29 0.02 0.9 0.02 0.29 0.91 0.65 0.02
42 0.26 0.24 0.07 0.75 0.79 0.09 0.68 0.1
43 0.18 0.66 0.67 0.21 0.71 0.57 0.25 0.21
44 0.16 0.94 0.47 0.06 0.18 0.81 0.52 0.02
45 0.09 0.16 0.44 0.56 0.49 0.24 0.41 0.16
46 0.23 0.69 0.04 0.45 0.44 0.11 0.25 0.41
47 0.38 0.39 0.73 0.16 0.98 0.44 0.17 0.38
48 0.12 0.23 0.31 0.49 0.54 0.64 0.98 0.67
49 0.91 0.86 0.35 0.2 0.94 0.93 0.9 0.2
50 0.38 0.79 0.72 0.87 0.52 0.6 0.16 0.79
51 0.76 0.53 0.94 0.38 0.92 0.51 0.47 0.65
52 0.49 0.3 0.04 0.52 0.73 0.7 0.21 0.94
53 0.55 0.76 0.08 0.13 0.46 0.54 0.52 0.46
54 0.53 0.87 0.14 0.63 0.3 0.12 0.81 0.07
55 0.08 0.38 0.29 0.11 0.79 0.61 0.95 0.85
56 0.01 0.04 0.85 0.23 0.23 0.98 0.24 0.64
57 0.84 0.72 0.18 0.22 0.75 0.03 0.27 0.44
58 0.12 0.11 0.11 0.02 0.27 0.67 0.62 0.78
59 0.07 0.58 0.55 0.71 0.56 0.68 0.21 0.05
60 0.22 0.32 0.39 0.16 0.9 0.07 0.29 0.04
61 0.26 0.66 0.76 0.72 0.63 0.15 0.1 0.06
62 0.61 0.44 0.71 0.4 0.0 0.61 0.95 0.77
63 0.53 0.81 0.55 0.3 0.49 0.85 0.88 0.98
64 0.85 0.03 0.46 0.79 0.32 0.92 0.26 0.66
65 0.43 0.57 0.79 0.7 0.23 0.72 0.52 0.53
66 0.76 0.06 0.49 0.21 0.99 0.16 0.08 0.91
67 0.21 0.64 0.41 0.37 0.18 0.36 0.63 0.62
68 0.47 0.85 0.23 0.82 0.35 0.85 0.93 0.07
69 0.58 0.32 0.38 0.05 0.6 0.39 0.81 0.17
70 0.1 0.37 0.09 0.58 0.81 0.13 0.48 0.83
71 0.97 0.18 0.62 0.02 0.36 0.42 0.34 0.51
72 0.62 0.76 0.48 0.52 0.3 0.92 0.2 0.65
73 0.89 0.41 0.17 0.01 0.91 0.47 0.34 0.59
74 0.72 0.23 0.09 0.43 0.7 0.08 0.43 0.92
75 0.32 0.07 0.51 0.4 0.91 0.9 0.1 0.61
76 0.66 0.63 0.11 0.28 0.74 0.52 0.38 0.54
77 0.92 0.11 0.78 0.24 0.49 0.94 0.99 0.69
78 0.08 0.71 0.56 0.38 0.26 0.54 0.44 0.09
79 0.18 0.14 0.94 0.84 0.37 0.74 0.76 0.23
80 0.69 0.04 0.19 0.16 0.14 0.44 0.59 0.98
81 0.95 0.65 0.25 0.78 0.14 0.8 0.27 0.22
82 0.15 0.61 0.15 0.34 0.18 0.89 0.06 0.88
83 0.84 0.95 0.34 0.43 0.68 0.19 0.07 0.91
84 0.65 0.27 0.05 0.86 0.77 0.07 0.63 0.97
85 0.75 0.44 0.36 0.46 0.37 0.03 0.03 0.32
86 0.57 0.24 0.99 0.85 0.22 0.98 0.89 0.71
87 0.63 0.03 0.69 0.45 0.15 0.34 0.83 0.63
88 0.1 0.02 0.04 0.51 0.92 0.79 0.66 0.71
89 0.93 0.73 0.36 0.32 0.71 0.37 0.56 0.11
90 0.34 0.19 0.4 0.07 0.27 0.38 0.01 0.42
91 0.05 0.49 0.09 0.44 0.39 0.08 0.35 0.91
92 0.55 0.78 0.98 0.54 0.6 0.2 0.46 0.87
93 0.45 0.14 0.63 0.65 0.54 0.44 0.69 0.19
94 0.68 0.31 0.88 0.67 0.2 0.62 0.08 0.77
95 0.1 0.06 0.7 0.86 0.86 0.26 0.91 0.84
96 0.67 0.89 0.2 0.84 0.52 0.44 0.91 0.11
97 0.13 0.25 0.35 0.65 0.99 0.37 0.93 0.33
98 0.47 0.95 0.77 0.97 0.84 0.1 0.13 0.63
99 0.22 0.71 0.41 0.6 0.45 0.1 0.24 0.15
100 0.22 0.72 0.99 0.36 0.28 0.6 0.25 0.89
101 0.96 0.04 0.32 0.71 0.28 0.5 0.53 0.89
102 0.1 0.86 0.44 0.72 0.58 0.07 0.23 0.06
103 0.78 0.51 0.72 0.5 0.09 0.24 0.29 0.56
104 0.51 0.06 0.65 0.8 0.01 0.35 0.97 0.85
105 0.02 0.29 0.18 0.32 0.02 0.94 0.3 0.42
106 0.21 0.24 0.59 0.01 0.6 0.54 0.73 0.74
107 0.7 0.15 0.3 0.71 0.65 0.74 0.82 0.22
108 0.0 0.68 0.88 0.15 0.87 0.35 0.94 0.81
